order,order_name,year,month,geo_fips,state_fips,county_fips,state_abbrev,county_name,producers,milk_pounds,row_type,mappable
30,Upper Midwest,2025,December,55107.0,55,107.0,WI,Rusk,11.0,2361194.0,county,1
30,Upper Midwest,2025,December,55109.0,55,109.0,WI,St. Croix,28.0,7557960.0,county,1
30,Upper Midwest,2025,December,55111.0,55,111.0,WI,Sauk,43.0,9396931.0,county,1
30,Upper Midwest,2025,December,55113.0,55,113.0,WI,Sawyer,,,county,0
30,Upper Midwest,2025,December,55115.0,55,115.0,WI,Shawano,40.0,37821044.0,county,1
30,Upper Midwest,2025,December,55117.0,55,117.0,WI,Sheboygan,24.0,21363346.0,county,1
30,Upper Midwest,2025,December,55119.0,55,119.0,WI,Taylor,32.0,4170580.0,county,1
30,Upper Midwest,2025,December,55121.0,55,121.0,WI,Trempealeau,31.0,10007037.0,county,1
30,Upper Midwest,2025,December,55123.0,55,123.0,WI,Vernon,59.0,9388824.0,county,1
30,Upper Midwest,2025,December,55127.0,55,127.0,WI,Walworth,39.0,18097765.0,county,1
30,Upper Midwest,2025,December,55129.0,55,129.0,WI,Washburn,,,county,0
30,Upper Midwest,2025,December,55131.0,55,131.0,WI,Washington,29.0,18897164.0,county,1
30,Upper Midwest,2025,December,55133.0,55,133.0,WI,Waukesha,11.0,853641.0,county,1
30,Upper Midwest,2025,December,55135.0,55,135.0,WI,Waupaca,22.0,10630331.0,county,1
30,Upper Midwest,2025,December,55137.0,55,137.0,WI,Waushara,7.0,1034287.0,county,1
30,Upper Midwest,2025,December,55139.0,55,139.0,WI,Winnebago,19.0,12920202.0,county,1
30,Upper Midwest,2025,December,55141.0,55,141.0,WI,Wood,3.0,276300.0,county,1
33,Mideast,2025,December,26005.0,26,5.0,MI,Allegan,27.0,35568743.0,county,1
33,Mideast,2025,December,26007.0,26,7.0,MI,Alpena,9.0,4209209.0,county,1
33,Mideast,2025,December,26011.0,26,11.0,MI,Arenac,7.0,9393720.0,county,1
33,Mideast,2025,December,26015.0,26,15.0,MI,Barry,19.0,28634649.0,county,1
33,Mideast,2025,December,26021.0,26,21.0,MI,Berrien,5.0,2686160.0,county,1
33,Mideast,2025,December,26023.0,26,23.0,MI,Branch,5.0,3100587.0,county,1
33,Mideast,2025,December,26025.0,26,25.0,MI,Calhoun,12.0,16072164.0,county,1
33,Mideast,2025,December,26029.0,26,29.0,MI,Charlevoix,4.0,847584.0,county,1
33,Mideast,2025,December,26033.0,26,33.0,MI,Chippewa,4.0,353690.0,county,1
33,Mideast,2025,December,26035.0,26,35.0,MI,Clare,14.0,3296119.0,county,1
33,Mideast,2025,December,26037.0,26,37.0,MI,Clinton,32.0,86393335.0,county,1
33,Mideast,2025,December,26045.0,26,45.0,MI,Eaton,11.0,1091682.0,county,1
33,Mideast,2025,December,26051.0,26,51.0,MI,Gladwin,3.0,2292826.0,county,1
33,Mideast,2025,December,26057.0,26,57.0,MI,Gratiot,22.0,76044030.0,county,1
33,Mideast,2025,December,26059.0,26,59.0,MI,Hillsdale,9.0,3599525.0,county,1
33,Mideast,2025,December,26063.0,26,63.0,MI,Huron,46.0,80462236.0,county,1
33,Mideast,2025,December,26065.0,26,65.0,MI,Ingham,12.0,11943541.0,county,1
33,Mideast,2025,December,26067.0,26,67.0,MI,Ionia,26.0,39713639.0,county,1
33,Mideast,2025,December,26069.0,26,69.0,MI,Iosco,8.0,4893834.0,county,1
33,Mideast,2025,December,26073.0,26,73.0,MI,Isabella,20.0,12530015.0,county,1
33,Mideast,2025,December,26075.0,26,75.0,MI,Jackson,10.0,4212831.0,county,1
33,Mideast,2025,December,26077.0,26,77.0,MI,Kalamazoo,7.0,19831509.0,county,1
33,Mideast,2025,December,26081.0,26,81.0,MI,Kent,13.0,17392438.0,county,1
33,Mideast,2025,December,26087.0,26,87.0,MI,Lapeer,6.0,728808.0,county,1
33,Mideast,2025,December,26091.0,26,91.0,MI,Lenawee,15.0,46479415.0,county,1
33,Mideast,2025,December,26093.0,26,93.0,MI,Livingston,5.0,3483842.0,county,1
33,Mideast,2025,December,26105.0,26,105.0,MI,Mason,5.0,698918.0,county,1
33,Mideast,2025,December,26107.0,26,107.0,MI,Mecosta,9.0,4484940.0,county,1
33,Mideast,2025,December,26109.0,26,109.0,MI,Menominee 1/,7.0,1644069.0,county,1
33,Mideast,2025,December,26113.0,26,113.0,MI,Missaukee,29.0,52594363.0,county,1
33,Mideast,2025,December,26117.0,26,117.0,MI,Montcalm,34.0,14048469.0,county,1
33,Mideast,2025,December,26119.0,26,119.0,MI,Montmorency,5.0,1045103.0,county,1
33,Mideast,2025,December,26121.0,26,121.0,MI,Muskegon,13.0,18517546.0,county,1
33,Mideast,2025,December,26123.0,26,123.0,MI,Newaygo,22.0,11713578.0,county,1
33,Mideast,2025,December,26129.0,26,129.0,MI,Ogemaw,18.0,9037097.0,county,1
33,Mideast,2025,December,26133.0,26,133.0,MI,Osceola,17.0,22505367.0,county,1
33,Mideast,2025,December,26135.0,26,135.0,MI,Oscoda,3.0,347758.0,county,1
33,Mideast,2025,December,26139.0,26,139.0,MI,Ottawa,38.0,56748990.0,county,1
33,Mideast,2025,December,26145.0,26,145.0,MI,Saginaw,10.0,2905638.0,county,1
33,Mideast,2025,December,26147.0,26,147.0,MI,Stclair,5.0,1564310.0,county,1
33,Mideast,2025,December,26149.0,26,149.0,MI,St. Joseph,10.0,4521001.0,county,1
33,Mideast,2025,December,26151.0,26,151.0,MI,Sanilac,55.0,52077730.0,county,1
33,Mideast,2025,December,26155.0,26,155.0,MI,Shiawassee,7.0,3302142.0,county,1
33,Mideast,2025,December,26157.0,26,157.0,MI,Tuscola,29.0,25383741.0,county,1
33,Mideast,2025,December,26159.0,26,159.0,MI,Vanburen,5.0,24056880.0,county,1
33,Mideast,2025,December,26161.0,26,161.0,MI,Washtenaw,6.0,1737021.0,county,1
33,Mideast,2025,December,26165.0,26,165.0,MI,Wexford,3.0,448129.0,county,1
33,Mideast,2025,December,36009.0,36,9.0,NY,Cattaraugus,25.0,27613664.0,county,1
33,Mideast,2025,December,36013.0,36,13.0,NY,Chautauqua,40.0,16362385.0,county,1
33,Mideast,2025,December,36029.0,36,29.0,NY,Erie,5.0,1616348.0,county,1
33,Mideast,2025,December,36051.0,36,51.0,NY,Livingston,4.0,945001.0,county,1
33,Mideast,2025,December,36069.0,36,69.0,NY,Ontario,6.0,911405.0,county,1
33,Mideast,2025,December,36101.0,36,101.0,NY,Steuben,3.0,1199577.0,county,1
33,Mideast,2025,December,36121.0,36,121.0,NY,Wyoming,18.0,4614072.0,county,1
33,Mideast,2025,December,42005.0,42,5.0,PA,Armstrong,9.0,2203191.0,county,1
33,Mideast,2025,December,42007.0,42,7.0,PA,Beaver,9.0,540599.0,county,1
33,Mideast,2025,December,42009.0,42,9.0,PA,Bedford,19.0,1027081.0,county,1
33,Mideast,2025,December,42013.0,42,13.0,PA,Blair,18.0,1743207.0,county,1
33,Mideast,2025,December,42015.0,42,15.0,PA,Bradford,7.0,1724121.0,county,1
